Time,Currency,Impact,Event,Actual,Forecast,Previous,Gmt time,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
02.06.2020 07:30:00.00,CHF,Low Impact Expected,Manufacturing PMI,42.1,42,40.7,0.96103,0.96103,0.96084,0.96085,114.63,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 08:30:00.00,GBP,Low Impact Expected,Mortgage Approvals,16K,34K,56K,1.25290,1.25293,1.25237,1.25253,312.27,'Actual' greater than 'Forecast' is good for currency;,2,0,0
02.06.2020 08:30:00.00,GBP,Low Impact Expected,Net Lending to Individuals m/m,-6.9B,1.7B,1.0B,1.25290,1.25293,1.25237,1.25253,312.27,'Actual' greater than 'Forecast' is good for currency;,2,0,0
02.06.2020 08:32:00.00,GBP,Low Impact Expected,M4 Money Supply m/m,1.50%,2.50%,3.20%,1.25342,1.25355,1.25319,1.25351,308.78,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 04:00:00.00,USD,Low Impact Expected,Wards Total Vehicle Sales,8.7M,11.1M,8.6M,1.11267,1.11268,1.11260,1.11265,33.73,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 14:57:00.00,NZD,Low Impact Expected,GDT Price Index,0.10%,,1.00%,0.63585,0.63602,0.63553,0.63602,245.26,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 22:30:00.00,AUD,Low Impact Expected,AIG Construction Index,24.9,,21.6,0.68926,0.68932,0.68924,0.68925,38.19,'Actual' greater than 'Forecast' is good for currency;,1,0,0
02.06.2020 23:01:00.00,GBP,Low Impact Expected,BRC Shop Price Index y/y,-2.40%,,-1.70%,1.25482,1.25491,1.25482,1.25490,47.8,'Actual' greater than 'Forecast' is good for currency;,1,0,0
03.06.2020 01:30:00.00,AUD,High Impact Expected,GDP q/q,-0.30%,-0.40%,0.50%,0.69685,0.69718,0.69663,0.69672,282.94,'Actual' greater than 'Forecast' is good for currency;,1,0,1
03.06.2020 01:30:00.00,AUD,Low Impact Expected,Building Approvals m/m,-1.80%,-10.80%,-2.60%,0.69685,0.69718,0.69663,0.69672,282.94,'Actual' greater than 'Forecast' is good for currency;,1,0,1
03.06.2020 05:45:00.00,CHF,Low Impact Expected,GDP q/q,-2.60%,-2.00%,0.30%,0.96144,0.96144,0.96139,0.96139,18.6,'Actual' greater than 'Forecast' is good for currency;,1,0,0
03.06.2020 07:15:00.00,EUR,Low Impact Expected,Spanish Services PMI,27.9,24.7,7.1,1.12124,1.12156,1.12121,1.12151,217.41,'Actual' greater than 'Forecast' is good for currency;,1,0,0
03.06.2020 07:45:00.00,EUR,Low Impact Expected,Italian Services PMI,28.9,26.2,10.8,1.12078,1.12104,1.12077,1.12104,165.47,'Actual' greater than 'Forecast' is good for currency;,1,0,0
03.06.2020 07:50:00.00,EUR,Low Impact Expected,French Final Services PMI,31.1,29.4,29.4,1.12138,1.12158,1.12137,1.12150,193.85,'Actual' greater than 'Forecast' is good for currency;,1,0,0
03.06.2020 07:55:00.00,EUR,Low Impact Expected,German Final Services PMI,32.6,31.4,31.4,1.12190,1.12194,1.12157,1.12161,492.29,'Actual' greater than 'Forecast' is good for currency;,2,0,0
03.06.2020 07:55:00.00,EUR,Low Impact Expected,German Unemployment Change,238K,188K,372K,1.12190,1.12194,1.12157,1.12161,492.29,'Actual' less than 'Forecast' is good for currency;,2,0,0
03.06.2020 08:00:00.00,EUR,Low Impact Expected,Final Services PMI,30.5,28.7,28.7,1.12163,1.12166,1.12142,1.12145,348,'Actual' greater than 'Forecast' is good for currency;,2,0,0
